Agent_0,Agent_0,Agent_0,Agent_1,Agent_1,Agent_1,Agent_2,Agent_2,Agent_2,Agent_3,Agent_3,Agent_3,Agent_4,Agent_4,Agent_4,Agent_5,Agent_5,Agent_5,Agent_6,Agent_6,Agent_6,Agent_7,Agent_7,Agent_7,Agent_8,Agent_8,Agent_8,Agent_9,Agent_9,Agent_9,Agent_10,Agent_10,Agent_10,Agent_11,Agent_11,Agent_11,Agent_12,Agent_12,Agent_12,Agent_13,Agent_13,Agent_13,Agent_14,Agent_14,Agent_14,Agent_15,Agent_15,Agent_15,Agent_16,Agent_16,Agent_16,Agent_17,Agent_17,Agent_17,Agent_18,Agent_18,Agent_18,Agent_19,Agent_19,Agent_19,Agent_20,Agent_20,Agent_20,Agent_21,Agent_21,Agent_21,Agent_22,Agent_22,Agent_22,Agent_23,Agent_23,Agent_23,Agent_24,Agent_24,Agent_24,Agent_25,Agent_25,Agent_25,Agent_26,Agent_26,Agent_26,Agent_27,Agent_27,Agent_27,Agent_28,Agent_28,Agent_28,Agent_29,Agent_29,Agent_29,Agent_30,Agent_30,Agent_30,Agent_31,Agent_31,Agent_31,Agent_32,Agent_32,Agent_32,Agent_33,Agent_33,Agent_33,Agent_34,Agent_34,Agent_34,Agent_35,Agent_35,Agent_35,Agent_36,Agent_36,Agent_36,Agent_37,Agent_37,Agent_37,Agent_38,Agent_38,Agent_38,Agent_39,Agent_39,Agent_39
Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water
175,5,9,175,6,9,175,4,6,175,8,7,175,7,5,175,8,4,140,4,6,175,9,6,100,7,7,100,4,9,80,12,9,80,7,11,85,9,8,80,9,12,80,9,8,80,8,9,80,8,8,80,9,11,80,7,9,80,6,9,80,8,6,80,9,8,80,13,9,85,8,9,85,8,8,85,8,6,80,8,8,85,9,8,80,11,9,80,11,8,80,9,9,80,9,5,80,8,11,85,7,7,80,8,8,80,7,9,85,8,5,80,11,9,80,8,8,80,9,6
159,8,8,163,8,8,159,7,5,151,7,10,151,6,8,159,7,7,124,7,5,151,8,9,88,9,6,76,7,8,170,11,8,170,6,10,67,8,10,104,8,11,170,8,7,80,7,8,170,7,7,140,8,10,104,6,8,140,5,8,140,7,5,64,8,11,56,12,12,61,11,8,61,11,7,69,7,9,68,7,10,61,8,11,56,10,12,56,10,11,64,12,8,62,8,7,64,11,10,67,9,6,56,11,7,64,10,8,61,7,8,56,10,12,56,7,11,62,8,8
139,1011,1007,143,1011,1007,139,1006,1008,131,1010,1009,136,1008,1007,139,1010,1006,104,1006,1008,131,1011,1008,60,1008,1009,48,1010,1007,150,1010,1011,150,1009,1009,47,1011,1009,84,1011,1010,142,1007,1010,60,1010,1007,150,1010,1006,125,1010,1009,84,1009,1007,112,1008,1007,120,1006,1008,49,1010,1010,140,1011,1011,136,1010,1007,136,1010,1006,54,1009,1008,48,1010,1009,136,1007,1010,140,1009,1011,131,1009,1010,44,1011,1011,42,1007,1010,49,1010,1012,39,1008,1009,56,1010,1006,49,1009,1010,136,1006,1007,131,1009,1011,56,1006,1010,34,1011,1007
