Agent_0,Agent_0,Agent_0,Agent_1,Agent_1,Agent_1,Agent_2,Agent_2,Agent_2,Agent_3,Agent_3,Agent_3,Agent_4,Agent_4,Agent_4,Agent_5,Agent_5,Agent_5,Agent_6,Agent_6,Agent_6,Agent_7,Agent_7,Agent_7,Agent_8,Agent_8,Agent_8,Agent_9,Agent_9,Agent_9,Agent_10,Agent_10,Agent_10,Agent_11,Agent_11,Agent_11,Agent_12,Agent_12,Agent_12,Agent_13,Agent_13,Agent_13,Agent_14,Agent_14,Agent_14,Agent_15,Agent_15,Agent_15,Agent_16,Agent_16,Agent_16,Agent_17,Agent_17,Agent_17,Agent_18,Agent_18,Agent_18,Agent_19,Agent_19,Agent_19,Agent_20,Agent_20,Agent_20,Agent_21,Agent_21,Agent_21,Agent_22,Agent_22,Agent_22,Agent_23,Agent_23,Agent_23,Agent_24,Agent_24,Agent_24,Agent_25,Agent_25,Agent_25,Agent_26,Agent_26,Agent_26,Agent_27,Agent_27,Agent_27,Agent_28,Agent_28,Agent_28,Agent_29,Agent_29,Agent_29,Agent_30,Agent_30,Agent_30,Agent_31,Agent_31,Agent_31,Agent_32,Agent_32,Agent_32,Agent_33,Agent_33,Agent_33,Agent_34,Agent_34,Agent_34,Agent_35,Agent_35,Agent_35,Agent_36,Agent_36,Agent_36,Agent_37,Agent_37,Agent_37,Agent_38,Agent_38,Agent_38,Agent_39,Agent_39,Agent_39
Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water,Money,Food,Water
175,9,6,175,8,5,175,5,7,175,8,4,175,6,5,175,7,9,175,7,8,120,7,7,120,4,7,100,4,4,80,8,9,80,8,8,80,8,5,80,8,5,85,8,8,80,11,9,85,9,8,85,7,8,80,5,8,80,8,8,80,8,5,80,6,8,80,8,7,85,6,7,80,9,6,80,6,8,85,9,12,80,9,8,80,7,9,85,7,9,80,8,4,80,10,8,80,9,8,80,6,9,80,5,8,80,7,8,80,7,8,85,7,8,80,8,12,80,13,9
159,8,9,159,7,8,151,8,6,163,7,6,151,5,8,159,10,8,163,9,7,96,10,6,96,7,6,76,3,7,170,7,8,170,7,7,170,7,4,104,7,4,61,7,11,170,10,8,73,8,10,61,10,7,80,4,7,104,7,7,140,7,4,140,5,7,140,7,6,67,8,6,62,8,8,64,9,7,61,12,11,64,8,11,56,10,8,61,10,8,64,7,7,64,9,11,64,8,11,62,8,8,56,8,7,64,10,7,56,10,7,61,10,7,62,10,11,56,12,12
